nohup: ignoring input
Loading data.
Ready to train network.
/home/omnisky/anaconda3/envs/pytorch/lib/python3.8/site-packages/torchvision/transforms/transforms.py:210: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  warnings.warn("The use of the transforms.Scale transform is deprecated, " +
Epoch:1/30 || Epochiter:1/769 || Yaw:859.1527,Pitch:42.7672,Roll:116.8064||Batchtime:6.9702||ETA:1 day, 20:40:02
Epoch:1/30 || Epochiter:2/769 || Yaw:2599.7417,Pitch:768.1645,Roll:449.0376||Batchtime:0.7184||ETA:4:36:13
Epoch:1/30 || Epochiter:3/769 || Yaw:1338.6809,Pitch:364.2738,Roll:192.8321||Batchtime:0.6918||ETA:4:25:58
Epoch:1/30 || Epochiter:4/769 || Yaw:915.5712,Pitch:402.3989,Roll:273.8115||Batchtime:0.6919||ETA:4:26:00
Epoch:1/30 || Epochiter:5/769 || Yaw:3543.4597,Pitch:475.7112,Roll:273.5842||Batchtime:0.6938||ETA:4:26:44
Epoch:1/30 || Epochiter:6/769 || Yaw:807.0355,Pitch:697.7455,Roll:435.0152||Batchtime:0.6899||ETA:4:25:13
Epoch:1/30 || Epochiter:7/769 || Yaw:1224.9192,Pitch:597.5984,Roll:372.6014||Batchtime:0.6956||ETA:4:27:22
Epoch:1/30 || Epochiter:8/769 || Yaw:1245.2617,Pitch:698.8325,Roll:329.3217||Batchtime:0.7043||ETA:4:30:42
Epoch:1/30 || Epochiter:9/769 || Yaw:912.2010,Pitch:654.3591,Roll:284.2335||Batchtime:0.7104||ETA:4:33:03
Epoch:1/30 || Epochiter:10/769 || Yaw:1140.7025,Pitch:484.9915,Roll:189.7122||Batchtime:0.7082||ETA:4:32:11
Epoch:1/30 || Epochiter:11/769 || Yaw:1128.8064,Pitch:293.1729,Roll:195.8757||Batchtime:0.6914||ETA:4:25:43
Epoch:1/30 || Epochiter:12/769 || Yaw:631.3382,Pitch:328.1293,Roll:278.2929||Batchtime:0.7486||ETA:4:47:42
Epoch:1/30 || Epochiter:13/769 || Yaw:1393.8685,Pitch:466.6932,Roll:208.8416||Batchtime:0.6991||ETA:4:28:38
Epoch:1/30 || Epochiter:14/769 || Yaw:925.5624,Pitch:350.5745,Roll:243.6125||Batchtime:0.6968||ETA:4:27:45
Epoch:1/30 || Epochiter:15/769 || Yaw:1042.0651,Pitch:461.5416,Roll:235.3279||Batchtime:0.6892||ETA:4:24:49
Epoch:1/30 || Epochiter:16/769 || Yaw:852.5080,Pitch:412.3743,Roll:361.6924||Batchtime:0.7023||ETA:4:29:50
Epoch:1/30 || Epochiter:17/769 || Yaw:1111.8597,Pitch:308.1705,Roll:211.7586||Batchtime:0.7031||ETA:4:30:10
Epoch:1/30 || Epochiter:18/769 || Yaw:1301.7670,Pitch:438.9033,Roll:233.6557||Batchtime:0.6926||ETA:4:26:07
Epoch:1/30 || Epochiter:19/769 || Yaw:733.3271,Pitch:307.7412,Roll:255.9722||Batchtime:0.7172||ETA:4:35:31
Epoch:1/30 || Epochiter:20/769 || Yaw:528.8754,Pitch:272.7832,Roll:283.1551||Batchtime:0.7095||ETA:4:32:35
Epoch:1/30 || Epochiter:21/769 || Yaw:518.2787,Pitch:283.2153,Roll:250.1409||Batchtime:0.7051||ETA:4:30:51
Epoch:1/30 || Epochiter:22/769 || Yaw:581.1086,Pitch:354.9079,Roll:257.3444||Batchtime:0.7125||ETA:4:33:42
Epoch:1/30 || Epochiter:23/769 || Yaw:635.2504,Pitch:221.0600,Roll:224.7363||Batchtime:0.7635||ETA:4:53:18
Epoch:1/30 || Epochiter:24/769 || Yaw:465.0216,Pitch:260.4113,Roll:155.8182||Batchtime:0.6934||ETA:4:26:21
Epoch:1/30 || Epochiter:25/769 || Yaw:491.5718,Pitch:262.6989,Roll:190.2865||Batchtime:0.7087||ETA:4:32:12
Epoch:1/30 || Epochiter:26/769 || Yaw:453.7298,Pitch:454.2762,Roll:311.6988||Batchtime:0.7064||ETA:4:31:18
Epoch:1/30 || Epochiter:27/769 || Yaw:288.5500,Pitch:258.6737,Roll:154.8297||Batchtime:0.7092||ETA:4:32:23
Epoch:1/30 || Epochiter:28/769 || Yaw:307.8668,Pitch:340.1306,Roll:251.9576||Batchtime:0.7019||ETA:4:29:33
Epoch:1/30 || Epochiter:29/769 || Yaw:313.9797,Pitch:384.6965,Roll:185.1785||Batchtime:0.7020||ETA:4:29:34
Epoch:1/30 || Epochiter:30/769 || Yaw:617.0523,Pitch:247.4729,Roll:196.6309||Batchtime:0.7049||ETA:4:30:42
Epoch:1/30 || Epochiter:31/769 || Yaw:289.3798,Pitch:215.0728,Roll:286.5695||Batchtime:0.6992||ETA:4:28:28
Epoch:1/30 || Epochiter:32/769 || Yaw:600.9697,Pitch:198.2028,Roll:279.3961||Batchtime:0.7137||ETA:4:34:01
Epoch:1/30 || Epochiter:33/769 || Yaw:401.4415,Pitch:194.5626,Roll:138.2471||Batchtime:0.7067||ETA:4:31:21
Epoch:1/30 || Epochiter:34/769 || Yaw:434.2650,Pitch:208.0017,Roll:339.2027||Batchtime:0.7694||ETA:4:55:24
Epoch:1/30 || Epochiter:35/769 || Yaw:314.1367,Pitch:286.1656,Roll:259.8453||Batchtime:0.7039||ETA:4:30:14
Epoch:1/30 || Epochiter:36/769 || Yaw:296.2897,Pitch:235.2366,Roll:306.6068||Batchtime:0.7058||ETA:4:30:57
Epoch:1/30 || Epochiter:37/769 || Yaw:498.1481,Pitch:214.5378,Roll:114.0293||Batchtime:0.6949||ETA:4:26:45
Epoch:1/30 || Epochiter:38/769 || Yaw:130.0202,Pitch:212.7855,Roll:254.1945||Batchtime:0.6953||ETA:4:26:55
Epoch:1/30 || Epochiter:39/769 || Yaw:434.4387,Pitch:270.6442,Roll:237.7838||Batchtime:0.7074||ETA:4:31:33
Epoch:1/30 || Epochiter:40/769 || Yaw:195.1494,Pitch:182.2382,Roll:167.2686||Batchtime:0.7039||ETA:4:30:10
Epoch:1/30 || Epochiter:41/769 || Yaw:319.0421,Pitch:340.3388,Roll:226.8021||Batchtime:0.7138||ETA:4:33:58
Epoch:1/30 || Epochiter:42/769 || Yaw:362.9381,Pitch:124.8143,Roll:206.9982||Batchtime:0.6973||ETA:4:27:39
Epoch:1/30 || Epochiter:43/769 || Yaw:231.5093,Pitch:614.4966,Roll:194.8744||Batchtime:0.7036||ETA:4:30:02
Epoch:1/30 || Epochiter:44/769 || Yaw:314.8578,Pitch:246.5687,Roll:223.8152||Batchtime:0.7128||ETA:4:33:33
Epoch:1/30 || Epochiter:45/769 || Yaw:205.9575,Pitch:200.4068,Roll:238.7223||Batchtime:0.7547||ETA:4:49:36
Epoch:1/30 || Epochiter:46/769 || Yaw:318.8930,Pitch:243.2068,Roll:197.9987||Batchtime:0.7055||ETA:4:30:44
Epoch:1/30 || Epochiter:47/769 || Yaw:267.1797,Pitch:418.0946,Roll:222.2512||Batchtime:0.7035||ETA:4:29:57
Epoch:1/30 || Epochiter:48/769 || Yaw:203.1014,Pitch:186.5639,Roll:250.7144||Batchtime:0.7036||ETA:4:29:58
Epoch:1/30 || Epochiter:49/769 || Yaw:110.8774,Pitch:228.4297,Roll:207.4351||Batchtime:0.6983||ETA:4:27:56
Epoch:1/30 || Epochiter:50/769 || Yaw:141.2319,Pitch:165.8022,Roll:160.6111||Batchtime:0.7000||ETA:4:28:33
Epoch:1/30 || Epochiter:51/769 || Yaw:117.6755,Pitch:230.2667,Roll:203.9455||Batchtime:0.7066||ETA:4:31:06
Epoch:1/30 || Epochiter:52/769 || Yaw:119.8663,Pitch:185.4279,Roll:138.1696||Batchtime:0.6947||ETA:4:26:31
Epoch:1/30 || Epochiter:53/769 || Yaw:153.1346,Pitch:168.2778,Roll:233.1818||Batchtime:0.7059||ETA:4:30:47
Epoch:1/30 || Epochiter:54/769 || Yaw:90.4152,Pitch:190.2663,Roll:176.4159||Batchtime:0.7140||ETA:4:33:53
Epoch:1/30 || Epochiter:55/769 || Yaw:89.8122,Pitch:158.8925,Roll:174.0040||Batchtime:0.7035||ETA:4:29:50
Epoch:1/30 || Epochiter:56/769 || Yaw:153.1198,Pitch:139.9861,Roll:164.4969||Batchtime:0.7720||ETA:4:56:08
Epoch:1/30 || Epochiter:57/769 || Yaw:92.0663,Pitch:107.8671,Roll:148.8573||Batchtime:0.7115||ETA:4:32:55
Epoch:1/30 || Epochiter:58/769 || Yaw:73.4815,Pitch:157.7734,Roll:160.6927||Batchtime:0.7019||ETA:4:29:11
Epoch:1/30 || Epochiter:59/769 || Yaw:160.0404,Pitch:149.4372,Roll:173.2373||Batchtime:0.7170||ETA:4:34:59
Epoch:1/30 || Epochiter:60/769 || Yaw:135.9679,Pitch:113.3173,Roll:166.7665||Batchtime:0.7040||ETA:4:29:59
Epoch:1/30 || Epochiter:61/769 || Yaw:106.1334,Pitch:125.6099,Roll:106.9865||Batchtime:0.7107||ETA:4:32:32
Epoch:1/30 || Epochiter:62/769 || Yaw:160.8579,Pitch:131.3615,Roll:157.1761||Batchtime:0.7001||ETA:4:28:28
Epoch:1/30 || Epochiter:63/769 || Yaw:91.7666,Pitch:151.5107,Roll:133.9218||Batchtime:0.7131||ETA:4:33:26
Epoch:1/30 || Epochiter:64/769 || Yaw:162.9927,Pitch:116.3806,Roll:132.7901||Batchtime:0.7039||ETA:4:29:55
Epoch:1/30 || Epochiter:65/769 || Yaw:105.8204,Pitch:144.4057,Roll:114.5238||Batchtime:0.7149||ETA:4:34:06
Epoch:1/30 || Epochiter:66/769 || Yaw:69.5053,Pitch:111.8581,Roll:108.1598||Batchtime:0.7038||ETA:4:29:49
Epoch:1/30 || Epochiter:67/769 || Yaw:132.2966,Pitch:115.5538,Roll:115.9196||Batchtime:0.7705||ETA:4:55:25
Epoch:1/30 || Epochiter:68/769 || Yaw:91.6551,Pitch:193.8084,Roll:126.0546||Batchtime:0.7021||ETA:4:29:11
Epoch:1/30 || Epochiter:69/769 || Yaw:90.3074,Pitch:136.2177,Roll:107.1636||Batchtime:0.6965||ETA:4:27:01
Epoch:1/30 || Epochiter:70/769 || Yaw:80.7178,Pitch:92.2436,Roll:111.1100||Batchtime:0.6954||ETA:4:26:34
Epoch:1/30 || Epochiter:71/769 || Yaw:92.0548,Pitch:140.5740,Roll:96.1998||Batchtime:0.6930||ETA:4:25:40
Epoch:1/30 || Epochiter:72/769 || Yaw:117.2702,Pitch:130.9312,Roll:142.9088||Batchtime:0.7239||ETA:4:37:28
Epoch:1/30 || Epochiter:73/769 || Yaw:136.3371,Pitch:192.2841,Roll:147.1133||Batchtime:0.7119||ETA:4:32:53
Epoch:1/30 || Epochiter:74/769 || Yaw:105.1238,Pitch:258.6382,Roll:140.7191||Batchtime:0.7022||ETA:4:29:07
Epoch:1/30 || Epochiter:75/769 || Yaw:150.5065,Pitch:109.1930,Roll:150.5865||Batchtime:0.7096||ETA:4:31:57
Epoch:1/30 || Epochiter:76/769 || Yaw:98.7748,Pitch:100.6572,Roll:104.0522||Batchtime:0.7107||ETA:4:32:22
Epoch:1/30 || Epochiter:77/769 || Yaw:413.7415,Pitch:98.3086,Roll:166.4996||Batchtime:0.7076||ETA:4:31:09
Epoch:1/30 || Epochiter:78/769 || Yaw:503.9904,Pitch:238.4703,Roll:164.4216||Batchtime:0.7684||ETA:4:54:28
Epoch:1/30 || Epochiter:79/769 || Yaw:358.5740,Pitch:119.3135,Roll:108.1695||Batchtime:0.6908||ETA:4:24:43
Epoch:1/30 || Epochiter:80/769 || Yaw:217.3301,Pitch:196.8484,Roll:120.7822||Batchtime:0.7146||ETA:4:33:49
Epoch:1/30 || Epochiter:81/769 || Yaw:465.2409,Pitch:225.4226,Roll:172.0791||Batchtime:0.7002||ETA:4:28:18
Epoch:1/30 || Epochiter:82/769 || Yaw:426.2875,Pitch:171.9317,Roll:163.3584||Batchtime:0.7023||ETA:4:29:05
Epoch:1/30 || Epochiter:83/769 || Yaw:686.2107,Pitch:220.7175,Roll:235.6030||Batchtime:0.7125||ETA:4:32:59
Epoch:1/30 || Epochiter:84/769 || Yaw:415.9435,Pitch:222.4767,Roll:209.6688||Batchtime:0.7072||ETA:4:30:55
Epoch:1/30 || Epochiter:85/769 || Yaw:228.1381,Pitch:121.5254,Roll:173.0313||Batchtime:0.7267||ETA:4:38:23
Epoch:1/30 || Epochiter:86/769 || Yaw:176.4371,Pitch:162.2513,Roll:76.6631||Batchtime:0.7050||ETA:4:30:03
Epoch:1/30 || Epochiter:87/769 || Yaw:138.0350,Pitch:109.5740,Roll:135.3608||Batchtime:0.7051||ETA:4:30:05
Epoch:1/30 || Epochiter:88/769 || Yaw:212.5019,Pitch:201.7748,Roll:105.8008||Batchtime:0.6996||ETA:4:27:59
Epoch:1/30 || Epochiter:89/769 || Yaw:113.7757,Pitch:148.2941,Roll:140.6920||Batchtime:0.7140||ETA:4:33:28
Epoch:1/30 || Epochiter:90/769 || Yaw:126.6579,Pitch:93.5492,Roll:115.2250||Batchtime:0.6982||ETA:4:27:26
Epoch:1/30 || Epochiter:91/769 || Yaw:201.1369,Pitch:183.5483,Roll:100.1691||Batchtime:0.6929||ETA:4:25:22
Epoch:1/30 || Epochiter:92/769 || Yaw:99.8626,Pitch:97.0934,Roll:122.5516||Batchtime:0.7239||ETA:4:37:13
Epoch:1/30 || Epochiter:93/769 || Yaw:173.7567,Pitch:171.6646,Roll:119.3670||Batchtime:0.7435||ETA:4:44:43
Epoch:1/30 || Epochiter:94/769 || Yaw:140.8409,Pitch:100.0280,Roll:142.2330||Batchtime:0.7287||ETA:4:39:02
Epoch:1/30 || Epochiter:95/769 || Yaw:145.9486,Pitch:102.0635,Roll:101.3007||Batchtime:0.7427||ETA:4:44:23
Epoch:1/30 || Epochiter:96/769 || Yaw:157.7545,Pitch:166.5350,Roll:109.5199||Batchtime:0.7114||ETA:4:32:25
Epoch:1/30 || Epochiter:97/769 || Yaw:157.1248,Pitch:104.1680,Roll:141.5446||Batchtime:0.7171||ETA:4:34:35
Epoch:1/30 || Epochiter:98/769 || Yaw:183.0753,Pitch:91.8988,Roll:160.2644||Batchtime:0.7663||ETA:4:53:23
Epoch:1/30 || Epochiter:99/769 || Yaw:68.4936,Pitch:128.0584,Roll:87.6434||Batchtime:0.7560||ETA:4:49:25
Epoch:1/30 || Epochiter:100/769 || Yaw:176.9982,Pitch:127.2440,Roll:162.3435||Batchtime:0.7377||ETA:4:42:24
Epoch:1/30 || Epochiter:101/769 || Yaw:111.6568,Pitch:113.1354,Roll:172.9172||Batchtime:0.7162||ETA:4:34:10
Epoch:1/30 || Epochiter:102/769 || Yaw:86.7469,Pitch:130.1246,Roll:151.1822||Batchtime:0.7078||ETA:4:30:57
Epoch:1/30 || Epochiter:103/769 || Yaw:131.5707,Pitch:71.3404,Roll:105.2506||Batchtime:0.7475||ETA:4:46:08
Epoch:1/30 || Epochiter:104/769 || Yaw:82.0193,Pitch:122.1881,Roll:98.9381||Batchtime:0.7323||ETA:4:40:18
Epoch:1/30 || Epochiter:105/769 || Yaw:75.7423,Pitch:132.4215,Roll:140.5679||Batchtime:0.7090||ETA:4:31:22
